country,gdp_per_capita,total_cases_per_million
Seychelles,25205.736328125,413429.12
Sierra Leone,1634.76379394531,964.7438
Singapore,108036.109375,532073.4
Sint Maarten (Dutch part),41942.91796875,262101.84
Slovakia,33176.18359375,344743.97
Slovenia,41015.2265625,644850.6
Solomon Islands,2247.78491210938,33228.562
Somalia,1448.55676269531,1535.4545
South Africa,13478.75390625,65296.062
South Korea,45560.125,667636.06
Spain,40223.01171875,292302.16
Sri Lanka,12200.1376953125,29464.113
Sudan,3570.607421875,1295.8418
Suriname,15047.6142578125,132412.88
Sweden,55359.34375,265013.66
Switzerland,72278.2109375,509757.88
Tajikistan,4137.27783203125,1746.7689
Tanzania,2623.86157226563,673.75635
Thailand,17507.62109375,75534.95
Togo,2202.72680664063,4351.3887
Tonga,6142.96337890625,161746.92
Trinidad and Tobago,23295.546875,128011.94
Tunisia,10569.05078125,95167
Turkey,33149.5,195325.33
Turkmenistan,14740.009765625,0
Turks and Caicos Islands,20718.388671875,150864.42
Tuvalu,4591.33056640625,293947.25
Uganda,2280.07373046875,3639.9727
Ukraine,10731.4404296875,135267.81
United Arab Emirates,74917.671875,104180.94
United Kingdom,47587.16796875,367889.66
United States,64623.125,302859.5
Uruguay,24426.66015625,307561.12
Uzbekistan,8073.21044921875,5012.514
Vanuatu,2785.90380859375,38391.88
Vietnam,11396.53125,116612.4
Zambia,3365.87377929688,17361.838
Zimbabwe,2207.95703125,16580.682
