country,continent,people_fully_vaccinated_per_hundred,total_deaths_per_million
Poland,Europe,59.15184,3130.3035
Romania,Europe,42.337685,3428.1196
Slovenia,Europe,57.782104,3707.8691
Spain,Europe,85.17771,2539.245
Portugal,Europe,85.53044,2640.0889
Sweden,Europe,72.40806,2271.4065
United Kingdom,Europe,74.43005,3037.8423
Russia,Europe,54.74822,2745.2212
Ukraine,Europe,38.347157,2677.7417
United States,North America,67.52983,3294.5735
Turks and Caicos Islands,North America,66.95154,784.8438
Sint Maarten (Dutch part),North America,63.498802,2182.0078
Saint Vincent and the Grenadines,North America,30.992622,1214.9359
Saint Lucia,North America,30.74544,2281.9558
Trinidad and Tobago,North America,48.061897,2934.643
Saint Kitts and Nevis,North America,57.776257,984.33624
Montserrat,North America,43.610367,1787.31
Panama,North America,72.23046,1966.4718
Nicaragua,North America,91.026825,36.40058
Mexico,North America,63.640446,2571.5806
Jamaica,North America,26.796753,1267.6329
Honduras,North America,55.94186,1062.1299
Grenada,North America,33.38294,2035.4407
Greenland,North America,68.75246,357.0536
Costa Rica,North America,85.98951,1843.0608
Cuba,North America,90.90253,771.26013
Dominican Republic,North America,54.586662,390.3574
Dominica,North America,45.864437,1107.0055
Cayman Islands,North America,84.75911,516.6876
El Salvador,North America,70.025406,673.53296
Canada,North America,81.80634,1279.2733
Guatemala,North America,39.953743,1131.8433
Haiti,North America,3.1845589,74.759186
Bermuda,North America,73.576546,2161.4277
Bahamas,North America,42.0011,2123.0461
British Virgin Islands,North America,47.621655,1669.0137
Antigua and Barbuda,North America,67.187935,1561.6586
Barbados,North America,54.91811,2100.4236
Curacao,North America,54.42946,1629.3499
Anguilla,North America,73.10238,844.9514
Aruba,North America,78.26926,2708.921
Bonaire Sint Eustatius and Saba,North America,58.407204,593.2854
Belize,North America,54.992664,1708.294
Australia,Oceania,82.62102,387.38998
French Polynesia,Oceania,66.62304,2314.6497
Cook Islands,Oceania,99.87116,135.6208
Kiribati,Oceania,62.44032,137.949
Fiji,Oceania,69.73836,960.3797
New Zealand,Oceania,83.63098,529.2561
Papua New Guinea,Oceania,3.1479607,65.665825
Niue,Oceania,88.66595,0
New Caledonia,Oceania,64.36666,1093.5813
Nauru,Oceania,95.97361,84.58806
Solomon Islands,Oceania,32.56435,195.88388
Samoa,Oceania,82.66549,144.0052
Vanuatu,Oceania,51.82696,44.71972
Wallis and Futuna,Oceania,59.15138,608.6427
Tonga,Oceania,73.66758,114.22806
Tuvalu,Oceania,94.93607,0
Tokelau,Oceania,95.28547,0
Venezuela,South America,53.048817,206.465
Uruguay,South America,85.616646,2248.657
Suriname,South America,38.172287,2148.6846
Peru,South America,85.76331,6587.3975
Paraguay,South America,52.521175,2940.6284
Chile,South America,90.523636,3268.7512
Guyana,South America,46.797615,1580.9883
Falkland Islands,South America,50.497868,0
Colombia,South America,71.90879,2758.6523
Ecuador,South America,79.94636,2021.1064
Bolivia,South America,51.01023,1841.2448
Argentina,South America,76.860214,2874.5437
Brazil,South America,83.76549,3328.082
(211 lignes affectées)
Heure de fin : 2025-11-20T15:40:53.7149485+01:00
